time (s),Vbl:p (A)
0.000,0.000
2.441E-15,2.385E-6
7.324E-15,2.389E-6
17.09E-15,2.397E-6
36.62E-15,2.413E-6
75.68E-15,2.445E-6
153.8E-15,2.509E-6
310.1E-15,2.636E-6
622.6E-15,2.891E-6
1.248E-12,3.400E-6
2.498E-12,4.418E-6
4.106E-12,5.729E-6
6.299E-12,7.516E-6
9.518E-12,10.14E-6
15.96E-12,15.41E-6
28.83E-12,26.05E-6
54.58E-12,48.31E-6
104.6E-12,99.52E-6
154.6E-12,171.9E-6
204.6E-12,285.5E-6
254.6E-12,478.2E-6
299.4E-12,778.0E-6
300.0E-12,783.2E-6
301.2E-12,786.9E-6
302.4E-12,792.9E-6
304.9E-12,802.0E-6
309.9E-12,812.3E-6
319.9E-12,818.7E-6
332.5E-12,819.3E-6
350.5E-12,819.5E-6
379.0E-12,819.7E-6
429.0E-12,819.7E-6
479.0E-12,819.7E-6
529.0E-12,819.7E-6
579.0E-12,819.7E-6
629.0E-12,819.7E-6
679.0E-12,819.7E-6
729.0E-12,819.7E-6
729.7E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.7E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.8E-6
730.1E-12,819.9E-6
730.1E-12,819.9E-6
730.1E-12,820.0E-6
730.1E-12,820.1E-6
730.1E-12,820.3E-6
730.2E-12,820.8E-6
730.2E-12,821.7E-6
730.2E-12,823.6E-6
730.2E-12,827.4E-6
730.3E-12,835.0E-6
730.5E-12,850.2E-6
730.9E-12,881.0E-6
731.3E-12,918.1E-6
731.8E-12,960.7E-6
732.4E-12,1.008E-3
733.0E-12,1.064E-3
733.8E-12,1.131E-3
734.8E-12,1.215E-3
736.1E-12,1.320E-3
737.9E-12,1.455E-3
740.7E-12,1.631E-3
743.8E-12,1.783E-3
747.8E-12,1.906E-3
752.4E-12,1.981E-3
757.5E-12,2.021E-3
763.3E-12,2.039E-3
769.5E-12,2.046E-3
776.1E-12,2.048E-3
783.2E-12,2.049E-3
790.5E-12,2.049E-3
798.1E-12,2.049E-3
806.0E-12,2.049E-3
814.1E-12,2.049E-3
822.3E-12,2.049E-3
830.6E-12,2.049E-3
839.1E-12,2.049E-3
847.7E-12,2.049E-3
856.3E-12,2.049E-3
865.0E-12,2.049E-3
873.8E-12,2.049E-3
882.6E-12,2.049E-3
891.4E-12,2.049E-3
900.0E-12,2.049E-3
902.5E-12,2.018E-3
906.3E-12,1.964E-3
909.2E-12,1.912E-3
915.0E-12,1.802E-3
926.7E-12,1.586E-3
949.1E-12,1.238E-3
957.1E-12,1.135E-3
973.1E-12,956.0E-6
1.005E-9,681.4E-6
1.034E-9,502.9E-6
1.052E-9,414.6E-6
1.054E-9,401.9E-6
1.060E-9,377.5E-6
1.071E-9,332.2E-6
1.084E-9,285.8E-6
1.102E-9,227.8E-6
1.131E-9,148.8E-6
1.154E-9,94.38E-6
1.170E-9,59.05E-6
1.185E-9,27.99E-6
1.200E-9,-2.383E-6
1.206E-9,-15.42E-6
1.217E-9,-36.56E-6
1.226E-9,-55.58E-6
1.244E-9,-94.70E-6
1.281E-9,-181.2E-6
1.331E-9,-332.7E-6
1.381E-9,-560.5E-6
1.431E-9,-934.2E-6
1.481E-9,-1.589E-3
1.500E-9,-1.955E-3
1.503E-9,-1.980E-3
1.508E-9,-2.020E-3
1.518E-9,-2.047E-3
1.538E-9,-2.050E-3
1.543E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.050E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.049E-3
1.544E-9,-2.048E-3
1.544E-9,-2.048E-3
1.544E-9,-2.046E-3
1.544E-9,-2.043E-3
1.544E-9,-2.036E-3
1.544E-9,-2.023E-3
1.544E-9,-1.997E-3
1.544E-9,-1.948E-3
1.544E-9,-1.860E-3
1.545E-9,-1.714E-3
1.545E-9,-1.589E-3
1.546E-9,-1.474E-3
1.546E-9,-1.375E-3
1.547E-9,-1.281E-3
1.548E-9,-1.194E-3
1.549E-9,-1.112E-3
1.550E-9,-1.035E-3
1.552E-9,-964.3E-6
1.555E-9,-900.0E-6
1.559E-9,-863.0E-6
1.563E-9,-839.6E-6
1.568E-9,-828.2E-6
1.573E-9,-822.9E-6
1.579E-9,-820.8E-6
1.585E-9,-820.1E-6
1.592E-9,-819.8E-6
1.599E-9,-819.8E-6
1.607E-9,-819.7E-6
1.614E-9,-819.7E-6
1.622E-9,-819.7E-6
1.630E-9,-819.7E-6
1.639E-9,-819.7E-6
1.647E-9,-819.7E-6
1.656E-9,-819.7E-6
1.664E-9,-819.7E-6
1.673E-9,-819.7E-6
1.682E-9,-819.7E-6
1.690E-9,-819.7E-6
1.699E-9,-819.7E-6
1.708E-9,-819.7E-6
1.717E-9,-819.7E-6
1.726E-9,-819.7E-6
1.735E-9,-819.7E-6
1.744E-9,-819.7E-6
1.753E-9,-819.7E-6
1.762E-9,-819.7E-6
1.770E-9,-819.7E-6
1.779E-9,-819.7E-6
1.788E-9,-819.7E-6
1.797E-9,-819.7E-6
1.806E-9,-819.7E-6
1.815E-9,-819.7E-6
1.824E-9,-819.7E-6
1.833E-9,-819.7E-6
1.842E-9,-819.7E-6
1.851E-9,-819.7E-6
1.860E-9,-819.7E-6
1.869E-9,-819.7E-6
1.878E-9,-819.7E-6
1.887E-9,-819.7E-6
1.896E-9,-819.7E-6
1.905E-9,-819.7E-6
1.914E-9,-819.7E-6
1.923E-9,-819.7E-6
1.932E-9,-819.7E-6
1.941E-9,-819.7E-6
1.950E-9,-819.7E-6
1.959E-9,-819.7E-6
1.968E-9,-819.7E-6
1.977E-9,-819.7E-6
1.986E-9,-819.7E-6
1.995E-9,-819.7E-6
2.004E-9,-819.7E-6
2.013E-9,-819.7E-6
2.022E-9,-819.7E-6
2.031E-9,-819.7E-6
2.040E-9,-819.7E-6
2.049E-9,-819.7E-6
2.058E-9,-819.7E-6
2.067E-9,-819.7E-6
2.076E-9,-819.7E-6
2.085E-9,-819.7E-6
2.094E-9,-819.7E-6
2.100E-9,-819.7E-6
2.101E-9,-815.4E-6
2.102E-9,-810.8E-6
2.104E-9,-798.5E-6
2.109E-9,-766.6E-6
2.118E-9,-693.8E-6
2.131E-9,-605.6E-6
2.148E-9,-500.5E-6
2.155E-9,-465.4E-6
2.158E-9,-448.9E-6
2.165E-9,-417.7E-6
2.178E-9,-362.1E-6
2.189E-9,-321.7E-6
2.205E-9,-272.5E-6
2.229E-9,-210.9E-6
2.266E-9,-139.8E-6
2.316E-9,-73.97E-6
2.344E-9,-46.11E-6
2.369E-9,-23.30E-6
2.393E-9,-2.968E-6
2.400E-9,2.383E-6
2.400E-9,0.000
2.400E-9,0.000
2.400E-9,-6.163E-33
2.401E-9,5.808E-39
2.402E-9,-86.24E-39
