time (s),WL (V)
0.000,0.000
2.441E-15,4.476E-6
7.324E-15,13.43E-6
17.09E-15,31.33E-6
36.62E-15,67.14E-6
75.68E-15,138.8E-6
153.8E-15,282.0E-6
310.1E-15,568.4E-6
622.6E-15,1.141E-3
1.248E-12,2.287E-3
2.498E-12,4.579E-3
4.106E-12,7.527E-3
6.299E-12,11.55E-3
9.518E-12,17.45E-3
15.96E-12,29.25E-3
28.83E-12,52.86E-3
54.58E-12,100.1E-3
104.6E-12,191.7E-3
154.6E-12,283.4E-3
204.6E-12,375.1E-3
254.6E-12,466.7E-3
299.4E-12,548.9E-3
300.0E-12,550.0E-3
301.2E-12,550.0E-3
302.4E-12,550.0E-3
304.9E-12,550.0E-3
309.9E-12,550.0E-3
319.9E-12,550.0E-3
332.5E-12,550.0E-3
350.5E-12,550.0E-3
379.0E-12,550.0E-3
429.0E-12,550.0E-3
479.0E-12,550.0E-3
529.0E-12,550.0E-3
579.0E-12,550.0E-3
629.0E-12,550.0E-3
679.0E-12,550.0E-3
729.0E-12,550.0E-3
729.7E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.1E-12,550.0E-3
730.2E-12,550.0E-3
730.2E-12,550.0E-3
730.2E-12,550.0E-3
730.2E-12,550.0E-3
730.3E-12,550.0E-3
730.5E-12,550.0E-3
730.9E-12,550.0E-3
731.3E-12,550.0E-3
731.8E-12,550.0E-3
732.4E-12,550.0E-3
733.0E-12,550.0E-3
733.8E-12,550.0E-3
734.8E-12,550.0E-3
736.1E-12,550.0E-3
737.9E-12,550.0E-3
740.7E-12,550.0E-3
743.8E-12,550.0E-3
747.8E-12,550.0E-3
752.4E-12,550.0E-3
757.5E-12,550.0E-3
763.3E-12,550.0E-3
769.5E-12,550.0E-3
776.1E-12,550.0E-3
783.2E-12,550.0E-3
790.5E-12,550.0E-3
798.1E-12,550.0E-3
806.0E-12,550.0E-3
814.1E-12,550.0E-3
822.3E-12,550.0E-3
830.6E-12,550.0E-3
839.1E-12,550.0E-3
847.7E-12,550.0E-3
856.3E-12,550.0E-3
865.0E-12,550.0E-3
873.8E-12,550.0E-3
882.6E-12,550.0E-3
891.4E-12,550.0E-3
900.0E-12,550.0E-3
902.5E-12,545.4E-3
906.3E-12,538.4E-3
909.2E-12,533.1E-3
915.0E-12,522.4E-3
926.7E-12,501.1E-3
949.1E-12,459.9E-3
957.1E-12,445.3E-3
973.1E-12,416.0E-3
